timestamp,machine_id,vibration_mm_s_rms,bearing_temp_c,oil_pressure_bar
2026-06-01T00:00:00,TURBINE-01,2.22,61.1,4.47
2026-06-01T00:00:00,TURBINE-02,1.9,63.8,4.26
2026-06-01T00:00:00,TURBINE-03,1.44,61.1,4.35
2026-06-01T00:00:00,TURBINE-04,1.64,65.6,3.8
2026-06-01T00:00:00,TURBINE-05,1.58,64.6,4.07
2026-06-01T00:00:00,TURBINE-06,1.72,63.9,4.56
2026-06-01T00:00:00,TURBINE-07,1.63,60.9,4.49
2026-06-01T00:00:00,TURBINE-08,2.1,60.2,4.16
2026-06-01T00:00:00,COMPRESSOR-01,1.81,65.4,8.36
2026-06-01T00:00:00,COMPRESSOR-02,3.0,69.1,8.4
2026-06-01T00:00:00,COMPRESSOR-03,2.56,68.5,8.28
2026-06-01T00:00:00,COMPRESSOR-04,2.62,63.7,7.98
2026-06-01T00:00:00,COMPRESSOR-05,2.19,66.3,7.9
2026-06-01T00:00:00,COMPRESSOR-06,2.21,66.5,7.97
2026-06-01T00:00:00,PUMP-01,2.38,50.7,3.02
2026-06-01T00:00:00,PUMP-02,2.55,54.4,2.89
2026-06-01T00:00:00,PUMP-03,2.1,57.1,2.79
2026-06-01T00:00:00,PUMP-04,,54.3,3.02
2026-06-01T00:00:00,PUMP-05,2.15,54.3,2.76
2026-06-01T00:00:00,PUMP-06,1.71,53.8,2.66
2026-06-01T00:00:00,PUMP-07,1.55,61.0,3.14
2026-06-01T00:00:00,PUMP-08,,56.9,2.92
2026-06-01T00:00:00,PUMP-09,2.41,54.7,3.25
2026-06-01T00:00:00,PUMP-10,1.15,50.2,2.55
2026-06-01T01:00:00,TURBINE-01,1.7,60.0,4.13
2026-06-01T01:00:00,TURBINE-02,1.58,67.5,4.98
2026-06-01T01:00:00,TURBINE-03,1.77,55.6,4.72
2026-06-01T01:00:00,TURBINE-04,1.85,63.7,4.91
2026-06-01T01:00:00,TURBINE-05,2.0,64.9,4.55
2026-06-01T01:00:00,TURBINE-06,,59.5,4.19
2026-06-01T01:00:00,TURBINE-07,1.83,67.8,4.08
2026-06-01T01:00:00,TURBINE-08,,60.0,
2026-06-01T01:00:00,COMPRESSOR-01,2.84,68.3,8.16
2026-06-01T01:00:00,COMPRESSOR-02,2.65,72.1,
2026-06-01T01:00:00,COMPRESSOR-03,2.71,65.4,7.91
2026-06-01T01:00:00,COMPRESSOR-04,2.29,63.5,8.44
